id,company_id,date_generated,dividend,future,health,management,past,value,misc,total,sentence
1629,A0A1A293-FDA8-48DF-9EBF-35556CDE3235,2020-05-24 03:48:49,0,4,1,0,2,1,0,8,"Reasonable growth potential with questionable track record."
26507,46B285BC-B25F-4814-985C-390A4BFA2023,2020-05-24 11:06:28,0,5,4,0,0,0,0,9,"High growth potential with adequate balance sheet."
162,743F0744-8987-4339-B565-DEE3A93E9934,2020-05-23 08:55:04,2,2,3,0,2,0,0,9,"Mediocre balance sheet with limited growth."
1,FC7B296B-300B-4710-8F84-D68A5BFBC75B,2020-05-23 23:24:24,3,0,3,0,0,4,0,10,"Good value with mediocre balance sheet."
17129,8ACBC59A-0EC5-42D1-9F7B-6D31ABD4421E,2020-05-24 04:52:01,0,2,6,0,3,0,0,11,"Flawless balance sheet with acceptable track record."
18906,65DCE5EA-70D6-417F-9CAC-1EAA92FB7F1C,2020-05-22 17:01:53,0,6,5,0,0,0,0,11,"Exceptional growth potential with excellent balance sheet."
1895,4BE2C01F-F390-479C-A166-8E0DD73CF7B9,2020-05-24 10:37:17,4,0,3,0,4,1,0,12,"Proven track record average dividend payer."
33,D0665877-9EC5-4568-8A29-E8FFF77DF072,2020-05-24 02:31:42,0,5,6,0,2,0,0,13,"Flawless balance sheet with high growth potential."
21152,C8250615-877A-4AE1-BEF3-636B69CD83E8,2020-05-24 09:59:36,0,2,6,0,5,0,0,13,"Flawless balance sheet with solid track record."
2038,49A0E7C9-F918-4E97-AECA-D8D37F9A3F4F,2020-05-22 02:44:24,0,6,2,0,2,5,0,15,"Exceptional growth potential and undervalued."
81,424EB65E-8C34-42BF-A107-61F93D4E9E6D,2020-05-24 09:46:23,4,3,4,0,6,1,0,18,"Outstanding track record with adequate balance sheet and pays a dividend."
1471,3B07801A-1C3A-46E6-A7FF-E1F59F31C466,2020-05-24 02:48:44,5,2,3,0,6,4,0,20,"Outstanding track record established dividend payer."
